id,book,chapter,source_file,line_start,line_end,quote_text,category,source_or_origin,summary,notes
LACTZB-019,传统下的再白,007.日记八则,007.日记八则.txt,79,79,烈士肝肠名士胆，杀人手段救人心,近代联语/格言,近代联语或格言，文中未明具体出处,李敖把这句刚烈联语列为强者狠心肠的样本，强调为了救人心也须有杀伐决断。,
LACTZB-020,传统下的再白,007.日记八则,007.日记八则.txt,81,81,须是一刀两断，萦萦的讨个什么！,古典语句,古典小说/戏曲语，文中未明具体出处,李敖引用这句决绝语，说明强者在矛盾关系中应当斩断牵缠。,
LACTZB-021,传统下的再白,007.日记八则,007.日记八则.txt,83,83,一个人为真理常常要牺牲朋友,现代格言,现代格言，文中未明具体出处,李敖把为真理牺牲朋友的格言列入自己的强者哲学，强调真理优先于人情。,
LACTZB-022,传统下的再白,007.日记八则,007.日记八则.txt,87,87,你不能同时侍奉上帝，又侍奉玛门。,圣经文句,《新约·马太福音》6:24；《路加福音》16:13,李敖引用圣经名句，要求自己在矛盾关口舍弃两面讨好的犹豫。,
LACTZB-023,传统下的再白,007.日记八则,007.日记八则.txt,91,91,儿识父母，轩渠笑悦，欲往就之。,史传文句,《后汉书·方术列传·蓟子训》,李敖引用《后汉书》中轩渠笑悦的句子，讨论 Swift 旧译《海外轩渠》用字不妥。,
LACTZB-024,传统下的再白,007.日记八则,007.日记八则.txt,91,91,轩渠，两手高举也。后儒用为笑貌，失之。,训诂文句,朱骏声《说文通训定声》,李敖引用朱骏声训诂，说明“轩渠”本义与后人笑貌义的差异。,
LADXT-001,独白下的传统,快看《独白下的传统》,001.快看《独白下的传统》.txt,5,5,寿比南山,诗经成语/祝辞,《诗经·小雅·天保》成句，后世常作祝寿语。,李敖用来形容全书旧文重刊时，仍愿它像南山一样长久。,
LADXT-098,独白下的传统,快看《独白下的传统》,001.快看《独白下的传统》.txt,9,9,一部十七史，从何处说起？,史传名句,文天祥面对元人盘问时的传说语。,李敖用文天祥一句话说明中国史书传统庞大到难以从头说起。,校对补入。
LADXT-002,独白下的传统,快看《独白下的传统》,001.快看《独白下的传统》.txt,51,51,人希见生象也，而得死象之骨，按其图以想其生也。故诸人之所以意想者，皆谓之象也。,诸子格言,《韩非子·解老》解释“象”的名句。,李敖借韩非子的说法说明传统材料常只能由遗存反推原貌。,
LADXT-003,独白下的传统,快看《独白下的传统》,001.快看《独白下的传统》.txt,61,61,小人儒,儒家典故,《论语·雍也》“女为君子儒，无为小人儒”。,李敖用“君子儒/小人儒”的对照，批判被体制驯化的知识分子。,
LADXT-004,独白下的传统,快看《独白下的传统》,001.快看《独白下的传统》.txt,61,61,庸德之行，庸言之谨,儒家格言,《中庸》成句。,李敖说明许多知识分子的保守气质，落在日常言行的谨慎和退缩上。,
LADXT-005,独白下的传统,快看《独白下的传统》,001.快看《独白下的传统》.txt,79,79,天下鱼烂河决，生民涂炭,古典成语,“鱼烂”“河决”“生民涂炭”皆为古典灾变意象。,李敖引用李塨评语，概括书生空谈误国后的社会崩坏。,
LADXT-006,独白下的传统,快看《独白下的传统》,001.快看《独白下的传统》.txt,89,89,视富贵如浮云,古典格言,本于《论语·述而》“不义而富且贵，于我如浮云”。,李敖以此归纳旧式清高口号，并指出这类口号常难落实到现实选择。,
LADXT-007,独白下的传统,快看《独白下的传统》,001.快看《独白下的传统》.txt,91,91,天网恢恢,道家格言,《老子》“天网恢恢，疏而不失”。,李敖把古人的天命式惩罚观同现代法治观并举比较。,
LADXT-008,独白下的传统,快看《独白下的传统》,001.快看《独白下的传统》.txt,91,91,归去来兮,文学名篇,陶渊明《归去来兮辞》篇名兼开篇成句。,李敖以陶渊明归隐意象，说明传统文人常在文字里安排退路。,
LADXT-009,独白下的传统,快看《独白下的传统》,001.快看《独白下的传统》.txt,105,105,种豆南山下,古诗名句,陶渊明《归园田居》诗句。,李敖列举“南山”在陶诗中的出现，展示传统诗文意象的连续性。,
LADXT-010,独白下的传统,快看《独白下的传统》,001.快看《独白下的传统》.txt,105,105,悠然见南山,古诗名句,陶渊明《饮酒》诗句。,李敖把陶诗名句与“寿比南山”的祝辞放在一起，强调南山意象的文化生命。,
LADXT-099,独白下的传统,快看《独白下的传统》,001.快看《独白下的传统》.txt,109,109,究天人之际，通古今之变，成一家之言,史记名句,司马迁《报任安书》自述著述理想的名句。,李敖用它形容《独白下的传统》试图贯通天人、古今并形成独立见解。,校对补入。
LADXT-011,独白下的传统,直笔——“乱臣贼子惧”,002.直笔——“乱臣贼子惧”.txt,33,33,留取丹心照汗青,古诗名句,文天祥《过零丁洋》诗句。,李敖用文天祥名句说明“青史”在中国传统中的道德审判功能。,
LADXT-012,独白下的传统,直笔——“乱臣贼子惧”,002.直笔——“乱臣贼子惧”.txt,33,33,独留青史见遗文,古诗名句,杜甫《咏怀古迹》诗句。,李敖引用杜甫诗句，补充“历史书写保存人物名节”的传统想象。,
LADXT-013,独白下的传统,直笔——“乱臣贼子惧”,002.直笔——“乱臣贼子惧”.txt,45,45,越俎代庖,庄子成语,《庄子·逍遥游》典故。,李敖用成语提醒史家与当事人的职责边界。,
LADXT-014,独白下的传统,直笔——“乱臣贼子惧”,002.直笔——“乱臣贼子惧”.txt,57,57,不能赞一辞,史传成语,《史记·孔子世家》相关成语，常指文章精当不可增损。,李敖借此说明孔子修史被后世赋予的文字权威。,
LADXT-100,独白下的传统,直笔——“乱臣贼子惧”,002.直笔——“乱臣贼子惧”.txt,65,65,鲁之君臣，未尝相弑！,春秋笔法,孔门后学为鲁国避讳的说法。,李敖用这句反讽孔子和门人以曲笔掩饰鲁国君臣相弑事实。,校对补入。
LADXT-015,独白下的传统,直笔——“乱臣贼子惧”,002.直笔——“乱臣贼子惧”.txt,73,79,为尊者讳,春秋笔法,《春秋》书法传统中的概括语。,李敖讨论史书避讳时，把它列为传统直笔的反面机制。,
LADXT-016,独白下的传统,直笔——“乱臣贼子惧”,002.直笔——“乱臣贼子惧”.txt,73,79,为亲者讳,春秋笔法,《春秋》书法传统中的概括语。,李敖用它说明亲亲伦理进入史笔后，会改变事实呈现。,
LADXT-017,独白下的传统,直笔——“乱臣贼子惧”,002.直笔——“乱臣贼子惧”.txt,73,79,为贤者讳,春秋笔法,《春秋》书法传统中的概括语。,李敖指出“为贤者讳”会让历史评价带有选择性沉默。,
LADXT-018,独白下的传统,直笔——“乱臣贼子惧”,002.直笔——“乱臣贼子惧”.txt,97,97,天子无戏言，言，则史书之、礼成之、乐歌之。,古典格言,《史记·晋世家》周成王故事中的名句。,李敖用它说明君主一句话经由史、礼、乐固定后，便具有制度效力。,
LADXT-019,独白下的传统,直笔——“乱臣贼子惧”,002.直笔——“乱臣贼子惧”.txt,101,101,在齐太史简，在晋董狐笔,古诗名句,文天祥《正气歌》诗句。,李敖以太史、董狐的典故，突出直书传统对权力的威慑。,
LADXT-020,独白下的传统,直笔——“乱臣贼子惧”,002.直笔——“乱臣贼子惧”.txt,105,105,赵盾弑其君。,春秋书法,《左传》董狐书法名例。,李敖借董狐直书“赵盾弑君”，解释史笔如何逼出责任伦理。,
LADXT-101,独白下的传统,直笔——“乱臣贼子惧”,002.直笔——“乱臣贼子惧”.txt,147,147,若想人不知，除非己莫为。,俗谚格言,民间俗谚。,李敖用俗谚说明统治者压制野史也难以掩盖真相。,校对补入。
LADXT-102,独白下的传统,避讳——“非常不敢说”,003.避讳——“非常不敢说”.txt,3,3,莫为危时便怆神，前程往往有期因,古诗句,冯道诗句。,李敖用冯道诗句概括其在乱世中乐观、机智且能自处的态度。,校对补入。
LADXT-021,独白下的传统,避讳——“非常不敢说”,003.避讳——“非常不敢说”.txt,11,11,道可道，非常道。,道家格言,《老子》开篇句。,李敖借“非常道”转入“不敢说”的文字游戏，讽刺避讳文化。,
LADXT-022,独白下的传统,避讳——“非常不敢说”,003.避讳——“非常不敢说”.txt,25,25,鄙人固陋，不知忌讳,古文名句,旧文中自谦兼讽刺避讳的表达。,李敖用它说明说话者面对禁忌时常以“固陋”作防身姿态。,
LADXT-023,独白下的传统,避讳——“非常不敢说”,003.避讳——“非常不敢说”.txt,25,25,敢吐不时之义于讳言之朝,古文名句,古文中批评讳言朝廷的句式。,李敖借此凸显敢言者在禁忌政治中的危险位置。,
LADXT-024,独白下的传统,避讳——“非常不敢说”,003.避讳——“非常不敢说”.txt,25,25,民无讳言,古典格言,古代政治理想中允许民间直言的表达。,李敖把它与“讳莫如深”对照，显示理想与现实之间的落差。,
LADXT-025,独白下的传统,避讳——“非常不敢说”,003.避讳——“非常不敢说”.txt,37,37,何必去父母之邦,儒家格言,本于《论语》“父母在，不远游”等乡土伦理语境。,李敖用“父母之邦/国”的差异，说明避讳会改动经典措辞。,
LADXT-026,独白下的传统,避讳——“非常不敢说”,003.避讳——“非常不敢说”.txt,39,39,咄咄逼人,古典成语,《世说新语》相关成语。,李敖引用成语形容禁忌压力逼迫文字不断改形。,
LADXT-027,独白下的传统,避讳——“非常不敢说”,003.避讳——“非常不敢说”.txt,51,51,只许州官放火，不许百姓点灯,民间格言,宋代田登避讳故事形成的俗谚。,李敖用这句俗谚讽刺避讳制度的特权性。,
LADXT-028,独白下的传统,避讳——“非常不敢说”,003.避讳——“非常不敢说”.txt,53,53,冲冠一怒为红颜,古诗名句,吴伟业《圆圆曲》诗句。,李敖举吴三桂与陈圆圆故事，说明名句如何固定历史人物的文化形象。,
LADXT-029,独白下的传统,谏诤——“宁鸣而死，不默而生！”,004.谏诤——“宁鸣而死，不默而生！”.txt,63,63,有谏即死，无赦！,古代谏诤文句,先秦暴君拒谏故事中的警句。,李敖用这类残酷命令衬托谏诤传统的危险底色。,
LADXT-030,独白下的传统,谏诤——“宁鸣而死，不默而生！”,004.谏诤——“宁鸣而死，不默而生！”.txt,65,65,敢有谏者，斩！,古代谏诤文句,战国、秦汉叙事中常见的拒谏命令。,李敖引用它说明谏官面对的常是直接的死亡威胁。,
LADXT-103,独白下的传统,谏诤——“宁鸣而死，不默而生！”,004.谏诤——“宁鸣而死，不默而生！”.txt,71,71,你为了不听我的话，不在乎衣服；我为了使你听我的话，也不在乎脑袋！,谏诤格言,宋臣陈禾谏宋徽宗故事中的人物语。,李敖用这句强烈对比展示谏臣以生命强迫君主听取意见的姿态。,校对补入。
LADXT-031,独白下的传统,谏诤——“宁鸣而死，不默而生！”,004.谏诤——“宁鸣而死，不默而生！”.txt,79,79,先天下之忧而忧，后天下之乐而乐,古文名句,范仲淹《岳阳楼记》名句。,李敖把范仲淹名句放入谏诤脉络，强调知识分子应先承担公共忧患。,
LADXT-032,独白下的传统,谏诤——“宁鸣而死，不默而生！”,004.谏诤——“宁鸣而死，不默而生！”.txt,81,83,宁鸣而死，不默而生！,古文名句,范仲淹《灵乌赋》名句。,李敖以此作为全章标题精神，肯定宁可发声而死、不肯沉默苟活的态度。,
LADXT-033,独白下的传统,征兆——来头可不小,007.征兆——来头可不小.txt,113,113,敬鬼神而远之,儒家格言,《论语·雍也》成句。,李敖用孔子名言对照祥瑞、怪征叙事，指出理性态度与迷信传统的冲突。,
LADXT-034,独白下的传统,征兆——来头可不小,007.征兆——来头可不小.txt,115,115,伏羲人身蛇首，神农人身牛首,神话典故,上古帝王异相传说。,李敖列举古书中的异相叙事，说明圣王神化常从身体征兆开始。,
LADXT-104,独白下的传统,吃人——动物吃人，人也吃人,008.吃人——动物吃人，人也吃人.txt,101,101,食之美者，宁过于人肉乎！,史传警句,唐代朱粲嗜食人肉故事中的人物语。,李敖用这句极端话语呈现嗜好性吃人的残酷传统记录。,校对补入。
